situation,threshold,km2_at_or_above,pct_at_or_above
ssp370_far,35.5,205718.12,89.5689
ssp370_far,36,205059.84,89.2823
ssp370_far,36.5,204445.64,89.0148
ssp370_far,37,203878.05,88.7677
ssp370_far,37.5,203232.37,88.4866
ssp370_far,38,202587.5,88.2058
ssp370_far,38.5,201938.33,87.9232
ssp370_far,39,201243.25,87.6205
ssp370_far,39.5,200557.57,87.322
ssp370_far,40,199830.88,87.0056
ssp370_far,40.5,199122.21,86.697
ssp370_far,40.64,198922.92,86.6103
ssp370_far,41,198408.86,86.3864
ssp370_far,41.5,197674.77,86.0668
ssp370_far,42,196858.26,85.7113
ssp370_far,42.5,195946.47,85.3143
ssp370_far,43,195147.9,84.9666
ssp370_far,43.5,194339.38,84.6146
ssp370_far,44,193522.22,84.2588
ssp370_far,44.2,193161.01,84.1016
ssp370_far,44.5,192468.18,83.7999
ssp370_far,45,191080.39,83.1957
ssp370_far,45.5,189722.46,82.6044
ssp370_far,46,188492.62,82.069
ssp370_far,46.5,187200.89,81.5065
ssp370_far,47,185907.49,80.9434
ssp370_far,47.5,184572.75,80.3623
ssp370_far,48,183109.03,79.725
ssp370_far,48.5,181790.33,79.1508
ssp370_far,49,180527.36,78.6009
ssp370_far,49.5,179276.83,78.0564
ssp370_far,50,177989.62,77.496
ssp370_far,50.5,176589.36,76.8863
ssp370_far,50.8,175720.87,76.5082
ssp370_far,51,175092.47,76.2346
ssp370_far,51.5,173345.45,75.4739
ssp370_far,52,171258.31,74.5652
ssp370_far,52.5,169295.35,73.7105
ssp370_far,53,167520.32,72.9377
ssp370_far,53.5,165699.19,72.1448
ssp370_far,54,163846.57,71.3382
ssp370_far,54.44,161902.71,70.4918
ssp370_far,54.5,161651.24,70.3823
ssp370_far,55,159429.64,69.415
ssp370_far,55.5,157145.68,68.4206
ssp370_far,56,154697.93,67.3549
ssp370_far,56.5,152274.57,66.2998
ssp370_far,57,149701.95,65.1797
ssp370_far,57.5,147308.32,64.1375
ssp370_far,58,145080.01,63.1673
ssp370_far,58.5,142983.67,62.2545
ssp370_far,59,140901.25,61.3479
ssp370_far,59.5,138647.06,60.3664
ssp370_far,60,136473.41,59.42
ssp370_far,60.5,134193.93,58.4275
ssp370_far,61,132121.62,57.5252
ssp370_far,61.5,129776.57,56.5042
ssp370_far,62,127467.44,55.4988
ssp370_far,62.5,124591.48,54.2466
ssp370_far,63,121762.92,53.0151
ssp370_far,63.5,118680.55,51.6731
ssp370_far,64,115186.65,50.1518
ssp370_far,64.5,110731.4,48.212
ssp370_far,65,106564.23,46.3977
ssp370_far,65.5,102181.38,44.4894
ssp370_far,66,98351.5,42.8219
ssp370_far,66.5,94196.09,41.0126
ssp370_far,67,89251.18,38.8596
ssp370_far,67.5,84240.65,36.6781
ssp370_far,68,79608.69,34.6613
ssp370_far,68.5,75270.89,32.7727
ssp370_far,69,71106.3,30.9594
ssp370_far,69.5,67400.73,29.346
ssp370_far,70,64586.94,28.1209
